Title,Document,EPA.Comment.Letter.Date,Federal.Register.Date,Agency,State,eis_url,EIS_ID,EIS.Title,EIS.Number,Document.Type,EIS.Comment.Due..Review.Period.Date,Amended.Notice.Date,Amended.Notice,Supplemental.Information,Website,State.or.Territory,Lead.Agency,Contact.Name,Contact.Phone,Rating..if.Draft.EIS.
Chugach National Forest Land Management Plan Draft Environmental Impact Statement,Draft,NA,08/03/2018,Forest Service,AK,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=254326,254326,Chugach National Forest Land Management Plan Draft Environmental Impact Statement,20180171,Draft,2018-11-0100:00:00.0,NA,NA,NA,NA,AK,Forest Service,Denise Downie,907-743-9426,NA
Williamson Rock and Pacific Crest Trail,Draft,NA,07/27/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=253921,253921,Williamson Rock and Pacific Crest Trail,20180165,Draft,2018-09-1400:00:00.0,NA,NA,NA,NA,CA,Forest Service,Chinling Chen,626-574-5255,NA
Exchequer Restoration Project,Final,NA,07/20/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=253812,253812,Exchequer Restoration Project,20180164,Final,2018-08-2700:00:00.0,NA,NA,NA,NA,CA,Forest Service,Elaine Locke,559-855-5355,NA
Rock Creek Mine Project,Final Supplement,NA,07/20/2018,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=253673,253673,Rock Creek Mine Project,20180161,Final Supplement,2018-08-2300:00:00.0,NA,NA,NA,NA,MT,Forest Service,Katelyn Miller,406-293-6211,NA
Lobert Restoration Project,Final,NA,07/20/2018,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=253306,253306,Lobert Restoration Project,20180156,Final,2018-08-2000:00:00.0,NA,NA,NA,NA,OR,Forest Service,William Conroy,541-783-4039,NA
Omya Sentinel & Butterfield Quarries Expansion,Draft,NA,07/13/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=253081,253081,Omya Sentinel & Butterfield Quarries Expansion,20180153,Draft,2018-08-2800:00:00.0,NA,NA,NA,NA,CA,Forest Service,Scott Eliason,909-382-2830,NA
Medicine Bow Landscape Vegetation Analysis (LaVA) Project,Draft,NA,07/06/2018,Forest Service,WY,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=252626,252626,Medicine Bow Landscape Vegetation Analysis (LaVA) Project,20180150,Draft,2018-08-2000:00:00.0,NA,NA,NA,NA,WY,Forest Service,Melissa Martin,307-745-2371,NA
LeClerc Creek Grazing Allotment Mangagement Planning,Final,NA,06/29/2018,Forest Service,WA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=251969,251969,LeClerc Creek Grazing Allotment Mangagement Planning,20180146,Final,2018-08-1300:00:00.0,NA,NA,NA,NA,WA,Forest Service,Gayne Sears,509-447-7300,NA
Pack and Saddle Stock Outfitter-Guide Special Use Permit Issuance,Final Supplement,NA,06/29/2018,Forest Service,WA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=252025,252025,Pack and Saddle Stock Outfitter-Guide Special Use Permit Issuance,20180141,Final Supplement,2018-08-2000:00:00.0,NA,NA,NA,NA,WA,Forest Service,Paul Willard,509-682-4960,NA
Bordertown to California 120kV Transmission Line,Final,07/19/2018,06/22/2018,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=251901,251901,Bordertown to California 120kV Transmission Line,20180139,Final,2018-07-2300:00:00.0,NA,NA,NA,NA,CA-NV,Forest Service,Marnie Bonesteel,775-352-1240,NA
Eldorado National Forest Over Snow Vehicle Use Designation,Draft,08/02/2018,06/22/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=251867,251867,Eldorado National Forest Over Snow Vehicle Use Designation,20180138,Draft,2018-08-0600:00:00.0,NA,NA,NA,NA,CA,Forest Service,Jennifer Marsolais,530-642-5187,LO
Final Programmatic Environmental Impact Statement for Revision of the Coronado National Forest Land and Resource Management Plan,Final,NA,06/22/2018,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=251601,251601,Final Programmatic Environmental Impact Statement for Revision of the Coronado National Forest Land and Resource Management Plan,20180134,Final,2018-09-2000:00:00.0,NA,NA,NA,NA,AZ-NM,Forest Service,Rose Robinson,520-388-8491,NA
Gold Butterfly,Draft,07/30/2018,06/15/2018,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=251212,251212,Gold Butterfly,20180130,Draft,2018-07-3000:00:00.0,NA,NA,NA,NA,MT,Forest Service,Tami Sabol,406-777-7410,LO
Steamboat Ski Area Improvements,Final,07/17/2018,06/08/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=251090,251090,Steamboat Ski Area Improvements,20180128,Final,2018-07-1700:00:00.0,NA,NA,NA,NA,CO,Forest Service,Erica Dickerman,970-870-2185,NA
Sunrise Vegetation and Fuels Management,Draft,NA,06/08/2018,Forest Service,WA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=251081,251081,Sunrise Vegetation and Fuels Management,20180127,Draft,2018-08-0900:00:00.0,NA,NA,NA,NA,WA,Forest Service,Johnny Collin,509-843-4643,NA
Draft Environmental Impact Statement for the Draft Revised Forest Plan Helena - Lewis and Clark National Forest,Draft,NA,06/08/2018,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250899,250899,Draft Environmental Impact Statement for the Draft Revised Forest Plan Helena - Lewis and Clark National Forest,20180124,Draft,2018-09-0600:00:00.0,NA,NA,NA,NA,MT,Forest Service,Deborah Entwistle,406-495-3774,NA
Sunrise Vegetation and Fuels Management,Draft,07/24/2018,06/01/2018,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250605,250605,Sunrise Vegetation and Fuels Management,20180115,Draft,2018-07-1600:00:00.0,NA,NA,NA,NA,OR-WA,Forest Service,Johnny Collin,509-843-4643,LO
Plan Revision for the Coconino National Forest,Final,NA,05/25/2018,Forest Service,AZ,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250248,250248,Plan Revision for the Coconino National Forest,20180109,Final,2018-08-2200:00:00.0,NA,NA,NA,NA,AZ,Forest Service,Vernon Keller,928-527-3415,NA
Ringo FEIS & FPA,Final,NA,05/25/2018,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=250181,250181,Ringo FEIS & FPA,20180106,Final,2018-06-2500:00:00.0,NA,NA,NA,NA,OR,Forest Service,Joseph Bowles,541-433-3209,NA
CP District-wide Salvage Project,Final,06/28/2018,05/21/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249904,249904,CP District-wide Salvage Project,20180100,Final,2018-07-0500:00:00.0,NA,NA,NA,NA,CO,Forest Service,Mike Tooley,719-274-6321,NA
Starry Goat,Final,06/11/2018,05/21/2018,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249842,249842,Starry Goat,20180098,Final,2018-06-2100:00:00.0,NA,NA,NA,NA,MT,Forest Service,Lisa Osborn,406-295-7426,NA
Travel Management - Rico West Dolores Roads and Trails Project,Final,NA,05/21/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249791,249791,Travel Management - Rico West Dolores Roads and Trails Project,20180097,Final,2018-06-2100:00:00.0,NA,NA,NA,NA,CO,Forest Service,Deborah Kill,970-882-6822,NA
Supplement to the Final EIS for Invasive Plant Control Project,Final Supplement,06/25/2018,05/11/2018,Forest Service,NM,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249649,249649,Supplement to the Final EIS for Invasive Plant Control Project,20180094,Final Supplement,2018-06-1100:00:00.0,NA,NA,NA,NA,NM,Forest Service,Sandra Imler-Jacquez,505-438-5443,NA
Santa Fe National Forest Geothermal Leasing Final Environmental Impact Statement,Final,06/15/2018,05/11/2018,Forest Service,NM,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249641,249641,Santa Fe National Forest Geothermal Leasing Final Environmental Impact Statement,20180093,Final,2018-06-1100:00:00.0,NA,NA,NA,NA,NM,Forest Service,Larry Gore,575-289-3264,NA
Luna Restoration Project,Draft,06/28/2018,05/11/2018,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249503,249503,Luna Restoration Project,20180092,Draft,2018-06-2500:00:00.0,NA,NA,NA,NA,NM-AZ,Forest Service,Emily Irwin,575-773-4678,EC2
Final Environmental Impact Statement for Glade Rangeland Management,Final,06/04/2018,05/11/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249341,249341,Final Environmental Impact Statement for Glade Rangeland Management,20180086,Final,2018-06-1100:00:00.0,NA,NA,NA,NA,CO,Forest Service,Deborah Kill,970 882-6822,NA
Prince of Wales Landscape Level Analysis Project,Draft,06/18/2018,05/04/2018,Forest Service,AK,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249177,249177,Prince of Wales Landscape Level Analysis Project,20180079,Draft,2018-06-1800:00:00.0,NA,NA,NA,NA,AK,Forest Service,Delilah Brigham,907-828-3232,LO
Squaw Valley to Alpine Meadows Base to Base Gondola,Draft,06/08/2018,04/27/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248376,248376,Squaw Valley to Alpine Meadows Base to Base Gondola,20180070,Draft,2018-06-1100:00:00.0,NA,NA,NA,NA,CA,Forest Service,Joseph Flannery,530-587-3558,LO
Trout Creek,Final,NA,04/13/2018,Forest Service,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=247341,247341,Trout Creek,20180061,Final,2018-05-2900:00:00.0,NA,NA,NA,NA,OR,Forest Service,Joan Schmidgall,541-367-3809,NA
Tahoe National Forest Over-snow Vehicle Use Designation,Draft,05/24/2018,04/13/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=247302,247302,Tahoe National Forest Over-snow Vehicle Use Designation,20180060,Draft,2018-05-2900:00:00.0,NA,NA,NA,NA,CA,Forest Service,Joe Chavez,530-478-6158,LO
Townsend Project,Final,04/26/2018,04/13/2018,Forest Service,WI,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=247183,247183,Townsend Project,20180058,Final,2018-05-1400:00:00.0,NA,NA,NA,NA,WI,Forest Service,Marilee Houtler,715-276-6333,NA
Golden Peak Improvements 2016,Draft,05/21/2018,04/06/2018,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=247081,247081,Golden Peak Improvements 2016,20180057,Draft,2018-05-2100:00:00.0,NA,NA,NA,NA,CO,Forest Service,Max Forgensi,1-970-309-4861,EC1
Hi Lo Project,Draft,05/16/2018,04/06/2018,Forest Service,MN,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=246982,246982,Hi Lo Project,20180055,Draft,2018-05-2100:00:00.0,NA,NA,NA,NA,MN,Forest Service,Linda Merriman,2183652095,LO
Highway 89 Safety Enhancement and Forest Ecosystem Restoration Project,Final,04/30/2018,03/30/2018,Forest Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=246824,246824,Highway 89 Safety Enhancement and Forest Ecosystem Restoration Project,20180051,Final,2018-04-3000:00:00.0,NA,NA,NA,NA,CA,Forest Service,Ann Glubczynski,530-964-3717,NA
Black Hills Resilient Landscapes Project,Final,04/26/2018,03/30/2018,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=246801,246801,Black Hills Resilient Landscapes Project,20180050,Final,2018-04-3000:00:00.0,NA,NA,NA,NA,WY-SD,Forest Service,Anne Davy,406-273-1836,NA
North Savery Project,Final,04/23/2018,03/23/2018,Forest Service,WY,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=246461,246461,North Savery Project,20180044,Final,2018-04-2300:00:00.0,NA,NA,NA,NA,WY,Forest Service,Paula Guenther,307-745-2310   or   307-326-5258,NA
Castle Mountains Restoration Project,Draft,04/26/2018,03/16/2018,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=246141,246141,Castle Mountains Restoration Project,20180041,Draft,2018-04-3000:00:00.0,NA,NA,NA,NA,MT,Forest Service,John Casselli,406-791-7723,EC2
