Project,Page,NF
100 Mile Ultra Marathon Endurance Run,https://www.fs.usda.gov/project/?project=47731,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2011 Tornado Damage - Clary Hill Salvage,https://www.fs.usda.gov/project/?project=36106,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2011 Tornado Damage - Cow Pen Salvage,https://www.fs.usda.gov/project/?project=36705,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2011 Tornado Damage - Friendship Salvage,https://www.fs.usda.gov/project/?project=36743,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2011 Tornado Damage - Pine Flat Salvage,https://www.fs.usda.gov/project/?project=36133,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2012 Midstory Project,https://www.fs.usda.gov/project/?project=40145,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2013 Midstory Project,https://www.fs.usda.gov/project/?project=41014,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2013-2014 Tree Release and Weeding,https://www.fs.usda.gov/project/?project=41288,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2014 Abel Gap Burning,https://www.fs.usda.gov/project/?project=42739,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2015 Shoal Creek Ranger District Midstory Removal,https://www.fs.usda.gov/project/?project=45829,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2017 Cheaha Challenge-Northeast Alabama Bicycle Association,https://www.fs.usda.gov/project/?project=51794,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2017 Forest Health CE,https://www.fs.usda.gov/project/?project=51912,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2017 Forest Health Project Ivory Mountain,https://www.fs.usda.gov/project/?project=51103,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2017 Helispot Shoal Creek,https://www.fs.usda.gov/project/?project=52335,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2017 Lake Chinnabee Wildfire Hazard Tree Removal,https://www.fs.usda.gov/project/?project=52941,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2017 Miscellaneous Longleaf Pine Planting,https://www.fs.usda.gov/project/?project=51039,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
2017 Mission-Uncharted LLC Josh Wheeler,https://www.fs.usda.gov/project/?project=50986,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/alabama/landmanagement/projects?archive=1&sortby=1
